SHIP_NAME;INSPECTION_MONTH_YEAR;RISK_CLASSIFICATION;COMPLIANCE_INDEX;RISK_SCORE;SEASON
MIDNATSOL;10/2016;D;70,44;831;Cruise Ship Inspection Program 2016/2017 - October 2016
SAGA RUBY;03/2013;A;75,51;60;Cruise Ship Inspection Program 2012/2013 - March 2013
MSC MUSICA;12/2016;A;97,00;150;Cruise Ship Inspection Program 2016/2017 - December 2016
ZENITH;01/2013;B;95,36;235;Cruise Ship Inspection Program 2012/2013 - January 2013
SILVER MUSE;12/2017;A;98,96;50;Cruise Ship Inspection Program 2017/2018 -  December 2017
ZENITH;12/2013;B;94,75;260;Cruise Ship Inspection Program 2013/2014 - December 2013
SEA ADVENTURER;03/2015;A;97,14;125;Cruise Ship Inspection Program 2014/2015 - March 2015
MONARCH;06/2014;B;92,84;213;Cruise Ship Inspection Program 2014 - Copa
MARINER OF THE SEAS;02/2011;C;89,27;360;Cruise Ship Inspection Program 2010/2011 - February 2011
ADONIA;01/2013;A;100,00;0;Cruise Ship Inspection Program 2012/2013 - January 2013
MSC MAGNIFICA;01/2020;A;100,00;0;Cruise Ship Inspection Program 2019/2020 -  January 2020
QUEEN VICTORIA;01/2018;A;98,40;80;Cruise Ship Inspection Program 2017/2018 -  January 2018
AURORA;01/2018;A;97,90;105;Cruise Ship Inspection Program 2017/2018 -  January 2018
SOVEREIGN (SOBERANO);12/2011;C;92,48;375;Cruise Ship Inspection Program 2011/2012 - December 2011
SPLENDOUR OF THE SEA;03/2011;B;94,34;190;Cruise Ship Inspection Program 2010/2011 - March 2011
SOVEREIGN (SOBERANO);12/2018;C;92,80;360;Cruise Ship Inspection Program 2018/2019 -  December 2018
